GeneID,GeneName,GeneDescription,Dataset
4440,,Thiamine pyrophosphokinase,cna1_thermal_stress
6901,ALG7,UDP-N-acetyl-glucosamine-1-p transferase,cna1_thermal_stress
4274,,Acyl-CoA thioesterase,cna1_thermal_stress
6782,MNN5,"Alpha-1,2-mannosyltransferase",cna1_thermal_stress
3070,,Compass compoment swd2,cna1_thermal_stress
4659,,Pyruvate decarboxylase,cna1_thermal_stress
1521,,Metallo-beta-lactmase,cna1_thermal_stress
254,,NADH dehydrogenase ,cna1_thermal_stress
3698,,E3 ubiquitin-protein ligase UBR7,cna1_thermal_stress
3738,,Pantetheine-phosphate adenylyltransferase ,cna1_thermal_stress
2427,,,cna1_thermal_stress
2725,,Proteasome subunit,cna1_thermal_stress
62,,26S proteasome non-ATPase regulatory subunit 3 ,cna1_thermal_stress
1726,,FACT complex subunit SPT16,cna1_thermal_stress
1442,,Cysteine desulfhydrase,cna1_thermal_stress
1148,,Peptidyl prolyl cis-trans isomerase ,cna1_thermal_stress
7779,,D-glycerate 3-kinase ,cna1_thermal_stress
1577,,Glutamate dehydrogenase ,cna1_thermal_stress
309,,Membrane protein,cna1_thermal_stress
4307,URO1,Uricase,cna1_thermal_stress
3540,,Aspartyl/glutamyl-tRNA amidotransferase subunit B,cna1_thermal_stress
2309,,FK506-binding protein 2,cna1_thermal_stress
4269,,Leucyl aminopeptidse,cna1_thermal_stress
2099,,Fatty acid synthase beta subunit,cna1_thermal_stress
6141,,dUTP diphosphatase,cna1_thermal_stress
176,,Glutamate carboxypeptide protein,cna1_thermal_stress
3949,,4-nitrophenylphosphatase,cna1_thermal_stress
5653,,Malate synthase,cna1_thermal_stress
5548,,,cna1_thermal_stress
1565,,Biotin-[acetyl-CoA-carboxylase] ligase ,cna1_thermal_stress
3394,,,cna1_thermal_stress
919,,Carboxypeptidase D,cna1_thermal_stress
1026,,Gamma-glutamyltranspeptidase 1 ,cna1_thermal_stress
758,,Regulatory protein ral2,cna1_thermal_stress
2100,,Fatty acid synthase subunit alpha,cna1_thermal_stress
141,,Monooxygenase,cna1_thermal_stress
1879,,Carboxypeptidase Y,cna1_thermal_stress
5759,,Acetyl CoA carboxylase,cna1_thermal_stress
236,,8-amino-7-oxononanoatesynthase ,cna1_thermal_stress
1004,,,cna1_thermal_stress
601,CEL1,Glycosyl hydrolase,cna1_thermal_stress
164,,,cna1_thermal_stress
5939,,,cna1_thermal_stress
7939,,,cna1_thermal_stress
6396,,,cna1_thermal_stress
3492,,,cna1_thermal_stress
2591,,,cna1_thermal_stress
2070,,,cna1_thermal_stress
2899,,,cna1_thermal_stress
3679,,,cna1_thermal_stress
91,,,cna1_thermal_stress
3142,,,cna1_thermal_stress
848,,,cna1_thermal_stress
6109,,,cna1_thermal_stress
3873,,,cna1_thermal_stress
4139,,,cna1_thermal_stress
4043,,DUF636 domain-containing protein ,cna1_thermal_stress
1588,,Plasma membrane proteolipid 3,cna1_thermal_stress
4943,,,cna1_thermal_stress
4691,,,cna1_thermal_stress
1735,,,cna1_thermal_stress
4322,,,cna1_thermal_stress
3058,,Hmp1 protein,cna1_thermal_stress
1090,,,cna1_thermal_stress
4106,,,cna1_thermal_stress
1921,,,cna1_thermal_stress
7870,,,cna1_thermal_stress
6718,,,cna1_thermal_stress
3495,,,cna1_thermal_stress
1751,,,cna1_thermal_stress
4585,,,cna1_thermal_stress
3408,,,cna1_thermal_stress
6286,,,cna1_thermal_stress
6493,,,cna1_thermal_stress
2524,,,cna1_thermal_stress
2118,,,cna1_thermal_stress
4163,,,cna1_thermal_stress
6302,,SnoaL domain,cna1_thermal_stress
813,,,cna1_thermal_stress
5666,,,cna1_thermal_stress
11,,,cna1_thermal_stress
5167,,,cna1_thermal_stress
6668,,,cna1_thermal_stress
807,,,cna1_thermal_stress
3538,,,cna1_thermal_stress
4206,,DUF636 domain-containing protein,cna1_thermal_stress
93,,,cna1_thermal_stress
2362,,,cna1_thermal_stress
3566,,,cna1_thermal_stress
1585,,,cna1_thermal_stress
7666,,Cysteine-rich secretory protein family,cna1_thermal_stress
1816,,,cna1_thermal_stress
6267,,,cna1_thermal_stress
2043,,,cna1_thermal_stress
1368,,,cna1_thermal_stress
4938,,,cna1_thermal_stress
1803,,,cna1_thermal_stress
3232,,Lactamase ,cna1_thermal_stress
3268,,,cna1_thermal_stress
6395,,,cna1_thermal_stress
1939,,,cna1_thermal_stress
4167,,,cna1_thermal_stress
139,,,cna1_thermal_stress
7673,,,cna1_thermal_stress
