gene	geneName	baseMean	log2FC	stderror	padj
CNAG_06137	NA	12.62	0.71	0.503	NA
CNAG_06138	NA	2051.213	-0.153	0.111	0.4848
CNAG_06139	NA	116.473	-0.125	0.194	NA
CNAG_06140	NA	2127.066	-0.212	0.135	0.4064
CNAG_06141	DUT101	930.335	-0.101	0.105	0.6588
CNAG_06142	NA	118.35	-0.459	0.194	NA
CNAG_06143	NA	92.621	0.001	0.207	NA
CNAG_06144	NA	7256.208	-0.1	0.124	0.7226
CNAG_06145	NA	90.289	-0.291	0.207	NA
CNAG_06147	NA	1342.707	-0.185	0.127	0.4489
CNAG_06148	NA	443.102	-0.106	0.132	0.7241
CNAG_06149	NA	200.114	0.016	0.168	0.9822
CNAG_06150	NA	33225.779	0.327	0.147	0.1977
CNAG_06151	YPD1	356.497	-0.148	0.14	0.6153
CNAG_06152	NA	71.202	-0.205	0.225	NA
CNAG_06153	NA	1093.26	-0.092	0.133	0.7688
CNAG_06154	NA	74.073	-0.097	0.226	NA
CNAG_06155	NA	231.813	0.205	0.149	0.4867
CNAG_06156	FZC7	241.897	0.073	0.154	0.853
CNAG_06157	NA	339.456	0.419	0.178	0.1636
CNAG_06158	NA	171.421	-0.411	0.165	0.1318
CNAG_06159	NA	50.368	-0.318	0.268	NA
CNAG_06160	NA	95.063	-0.166	0.201	NA
CNAG_06161	VRK1	53.554	0.258	0.257	NA
CNAG_06162	NA	128.247	-0.039	0.192	NA
CNAG_06163	NA	117.556	-0.141	0.182	NA
CNAG_06164	NA	58.123	0.111	0.249	NA
CNAG_06165	NA	168.062	-0.082	0.169	0.8489
CNAG_06166	NA	116.211	-0.074	0.186	NA
CNAG_06167	NA	1716.85	0.064	0.118	0.8278
CNAG_06168	GNO1	599.571	0.036	0.117	0.9115
CNAG_06169	NA	88.883	-0.23	0.207	NA
CNAG_06170	NA	763.956	0.242	0.109	0.1977
CNAG_06172	NA	3.011	0.689	1.072	NA
CNAG_06173	NA	61.45	0.402	0.262	NA
CNAG_06174	NA	503.912	0.197	0.136	0.4532
CNAG_06175	NA	1168.332	-0.017	0.108	0.9655
CNAG_06178	NA	522.971	-0.104	0.122	0.7052
CNAG_06179	NA	177.447	-0.239	0.171	0.4798
CNAG_06180	NA	2368.102	0.337	0.105	0.03734
CNAG_06181	NA	0.32	0.119	2.977	NA
CNAG_06182	NA	388.548	0.155	0.144	0.6082
CNAG_06183	NA	115.732	-0.014	0.189	NA
CNAG_06184	NA	84.57	-0.346	0.209	NA
CNAG_06185	NA	248.541	-0.027	0.147	0.9576
CNAG_06186	NA	124.993	-0.09	0.192	NA
CNAG_06188	FZC15	50.641	0.307	0.258	NA
CNAG_06190	NA	364.113	0.139	0.141	0.6508
CNAG_06191	NA	365.212	0.465	0.14	0.03008
CNAG_06192	NA	373.702	-0.21	0.131	0.3949
CNAG_06193	CRK1	52.222	-0.189	0.265	NA
CNAG_06194	NA	47.464	-0.264	0.268	NA
CNAG_06195	NA	145.101	-0.273	0.185	NA
CNAG_06196	NA	446.014	0.306	0.148	0.2498
CNAG_06197	NA	138.448	-0.14	0.174	NA
CNAG_06199	NA	427.881	-0.113	0.127	0.6922
CNAG_06200	NA	211.48	-0.154	0.156	0.6513
CNAG_06201	NA	49.529	0.051	0.265	NA
CNAG_06202	NA	72.985	-0.145	0.22	NA
CNAG_06203	MAT2	8.821	0.475	0.612	NA
CNAG_06204	NA	263.419	-0.176	0.143	0.5466
CNAG_06205	BLP3	1188.472	0.281	0.118	0.1617
CNAG_06206	NA	299.57	0.141	0.14	0.6381
CNAG_06207	NA	286.786	0.12	0.152	0.7312
CNAG_06208	NA	17660.786	-0.042	0.101	0.876
CNAG_06213	NA	69.709	-0.343	0.235	NA
CNAG_06214	NA	383.271	-0.104	0.13	0.7225
CNAG_06215	NA	297.563	-0.131	0.15	0.6987
CNAG_06216	NA	89.189	0.526	0.204	NA
CNAG_06217	NA	44.8	0.163	0.279	NA
CNAG_06218	NA	131.193	-0.032	0.176	NA
CNAG_06219	NA	271.111	-0.275	0.147	0.3092
CNAG_06220	NA	1348.197	-0.067	0.132	0.8402
CNAG_06221	NA	266.621	-0.012	0.143	0.9827
CNAG_06222	NA	23574.906	-0.153	0.103	0.4367
CNAG_06223	MIZ1	163.714	-0.088	0.165	0.8299
CNAG_06224	MLN2	320.209	-0.269	0.142	0.3032
CNAG_06225	NA	0.141	-0.843	4.08	NA
CNAG_06226	NA	4784.073	0.106	0.099	0.6103
CNAG_06227	NA	79.89	-0.203	0.211	NA
CNAG_06228	NA	471.783	0.027	0.125	0.9455
CNAG_06229	NA	428.836	0.01	0.134	0.985
CNAG_06230	DRP1	248.022	-0.225	0.164	0.4875
CNAG_06231	NA	19982.434	-0.129	0.09	0.4621
CNAG_06232	HPP1	94.42	-0.123	0.201	NA
CNAG_06233	NA	6.193	-0.803	0.731	NA
CNAG_06234	NA	0	NA	NA	NA
CNAG_06235	NA	599.24	-0.088	0.123	0.7587
CNAG_06236	NGL3	573.855	-0.092	0.114	0.7198
CNAG_06237	NA	857.365	0.637	0.143	0.001085
CNAG_06238	NA	18.755	0.185	0.407	NA
CNAG_06239	NA	41.898	0.14	0.282	NA
CNAG_06240	NA	2462.4	0.092	0.112	0.7188
CNAG_06241	CFO1	900.158	0.12	0.115	0.6225
CNAG_06242	CFT1	341.662	0.294	0.15	0.284
CNAG_06243	NA	75.165	0.48	0.227	NA
CNAG_06244	NA	512.869	0.23	0.133	0.3537
CNAG_06245	NA	28.31	-0.178	0.346	NA
CNAG_06246	NA	1219.598	-0.098	0.121	0.72
CNAG_06247	NA	32.66	0.449	0.314	NA
CNAG_06248	NA	1523.774	-0.094	0.131	0.7587
CNAG_06249	NA	105.505	-0.012	0.202	NA
CNAG_06250	NA	28.766	0.236	0.332	NA
CNAG_06251	PPP4	18.195	0.318	0.427	NA
CNAG_06252	CCD6	143.286	0.27	0.195	NA
CNAG_06253	NA	34.631	-0.296	0.319	NA
CNAG_06256	NA	0	NA	NA	NA
CNAG_06259	NA	4.846	0.232	0.78	NA
CNAG_06260	NA	51.886	0.065	0.263	NA
CNAG_06263	NA	23.325	0.658	0.383	NA
