gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04388	SOD2	2360.918	1.59	0.09	1.5139999999999996e-67
CNAG_04389	NA	107.699	-0.46	0.218	0.0689
CNAG_04392	MFE2	275.489	1.104	0.136	9.537e-15
CNAG_04393	NA	421.95	0.105	0.127	0.5207
CNAG_04394	NA	40.446	-0.075	0.291	0.8581
CNAG_04395	NA	887.777	-0.474	0.1	1.27e-5
CNAG_04396	NA	132.21	-0.017	0.189	0.9515
CNAG_04397	NA	354.035	-0.178	0.132	0.2693
CNAG_04398	ARO80	1138.178	0.055	0.144	0.7821
CNAG_04399	NA	310.612	-0.222	0.134	0.1646
CNAG_04400	NA	621.865	-0.667	0.113	2.886e-8
CNAG_04401	NA	2972.877	0.157	0.108	0.228
CNAG_04402	NA	1451.405	-0.389	0.105	7.057e-4
CNAG_04403	NA	504.066	0.306	0.135	0.0488
CNAG_04404	NA	8.687	-0.579	0.6	0.4479
CNAG_04405	NA	232.018	-0.065	0.149	0.748
CNAG_04406	NA	467.067	0.207	0.118	0.1384
CNAG_04407	NA	257.441	0.009	0.141	0.9651
CNAG_04408	CKI1	441.338	0.226	0.12	0.1084
CNAG_04409	NA	1405.037	0.722	0.164	5.446e-5
CNAG_04410	NA	51.763	0.416	0.278	0.2142
CNAG_04411	NA	156.822	-0.041	0.162	0.8611
CNAG_04412	NA	83.816	0.391	0.217	0.1275
CNAG_04413	NA	27.327	-0.521	0.35	0.2158
CNAG_04414	NA	188.785	0.303	0.154	0.09186
CNAG_04415	NA	218.572	-0.011	0.161	0.9648
CNAG_04416	NA	33.163	0.592	0.316	0.1109
CNAG_04417	NA	329.167	0.115	0.126	0.4747
CNAG_04432	NA	331.409	-0.064	0.13	0.7154
CNAG_04433	YAK103	218.751	0.566	0.161	0.001494
CNAG_04434	NA	178.608	0.319	0.163	0.09388
CNAG_04436	NA	590.613	0.49	0.141	0.001677
CNAG_04437	NA	250.157	-0.601	0.149	2.309e-4
CNAG_04438	NA	118.209	-0.094	0.19	0.7131
CNAG_04439	NA	949.616	-0.063	0.11	0.6661
CNAG_04440	NA	81.532	0.026	0.226	0.9396
CNAG_04441	NA	5527.037	-0.449	0.267	0.1575
