gene	geneName	baseMean	log2FC	stderror	padj
CNAG_03126	NA	160.257	-0.046	0.167	0.886
CNAG_03127	NA	69680.214	-0.064	0.126	0.7727
CNAG_03128	NA	139.223	-0.657	0.188	0.004183
CNAG_03129	NA	631.587	0.196	0.18	0.4834
CNAG_03130	RHO10	1046.843	-0.158	0.12	0.3806
CNAG_03132	NA	188.904	-0.414	0.17	0.05992
CNAG_03133	ATG2602	10.711	-1.017	0.598	0.2272
CNAG_03134	HAD2	109.216	-0.094	0.224	0.814
CNAG_03135	NA	126.266	0.17	0.197	0.5976
CNAG_03136	NA	396.602	0.425	0.15	0.0252
CNAG_03137	PHO8501	51.819	-0.007	0.255	0.9904
CNAG_03138	CUL3	146.924	0.462	0.18	0.04534
CNAG_03139	CHO2	551.135	0.283	0.125	0.08521
CNAG_03140	NA	655.855	0.444	0.125	0.003528
CNAG_03141	NA	61.774	-0.38	0.246	0.2817
CNAG_03142	NA	484.653	0.055	0.149	0.8442
CNAG_03143	NA	376.414	0.498	0.169	0.01854
CNAG_03144	NA	266.332	-0.532	0.163	0.008173
CNAG_03145	NA	29.25	0.452	0.34	0.3749
CNAG_03146	NA	503.57	0.233	0.144	0.2563
CNAG_03147	NA	650.847	-0.326	0.121	0.03385
CNAG_03148	NA	664.928	0.101	0.128	0.6323
CNAG_03149	LIV9	94.858	-0.31	0.209	0.3054
CNAG_03150	NA	308.481	-0.16	0.148	0.4899
CNAG_03151	CSN4	185.126	-0.339	0.161	0.1154
CNAG_03152	NA	129.58	0.149	0.199	0.6508
CNAG_03153	SEC14-1	1428.079	-0.125	0.11	0.4613
CNAG_03154	NA	196.466	0.466	0.193	0.06485
CNAG_03155	NA	218.154	0.504	0.16	0.01089
CNAG_03156	NA	137.99	-0.106	0.181	0.7352
CNAG_03157	NA	305.793	0.115	0.154	0.6526
CNAG_03158	CMT1	172.522	-0.164	0.163	0.5226
CNAG_03159	NA	1108.933	-0.302	0.126	0.06676
CNAG_03160	NA	85.498	0.392	0.208	0.1695
CNAG_03161	NA	46.512	0.366	0.283	0.3911
CNAG_03162	NA	606.278	0.315	0.159	0.1426
CNAG_03163	NA	179.952	0.62	0.167	0.002298
CNAG_03164	NA	0	NA	NA	NA
CNAG_03165	NA	1174.135	-0.368	0.116	0.01013
CNAG_03166	NA	184.214	-0.079	0.165	0.7877
CNAG_03167	CHK1	385.551	-0.111	0.134	0.6165
CNAG_03168	NA	1688.22	-0.531	0.108	2.812e-5
CNAG_03169	NA	10.904	-0.396	0.547	0.6641
CNAG_03170	NA	128.111	-0.206	0.187	0.4755
CNAG_03171	SWE1	750.938	0.569	0.138	5.659e-4
CNAG_03172	NA	106.44	-0.021	0.229	0.9651
CNAG_03173	NA	135.462	0.225	0.183	0.418
CNAG_03174	NA	139.533	0.051	0.182	0.8821
CNAG_03175	NA	97.718	-0.073	0.222	0.8591
CNAG_03176	NA	786.549	-0.027	0.142	0.9221
CNAG_03177	NA	125.63	0.67	0.186	0.003228
CNAG_03178	NA	157.369	-0.193	0.184	0.5012
CNAG_03179	NA	4.347	-0.68	0.835	0.6202
CNAG_03181	NA	14.455	0.452	0.525	0.5983
CNAG_03182	NA	455.343	-0.19	0.127	0.3026
CNAG_03183	FZC24	444.645	0.078	0.146	0.7602
CNAG_03184	BUB1	836.133	0.234	0.114	0.125
CNAG_03185	NA	517.447	-0.207	0.133	0.2748
CNAG_03186	NA	981.684	-0.309	0.13	0.06986
CNAG_03187	NA	195.729	-0.163	0.173	0.5569
CNAG_03188	SET202	579.915	-0.09	0.124	0.6641
CNAG_03189	NA	236.591	0.046	0.157	0.8762
CNAG_03190	CCR4	931.87	0.645	0.151	3.298e-4
CNAG_03191	NA	554.913	0.493	0.16	0.01347
CNAG_03192	NA	77.777	-0.072	0.239	0.8749
CNAG_03193	NA	9.569	1.586	0.608	0.04183
CNAG_03194	NA	121.939	0.216	0.184	0.4454
CNAG_03195	NA	77.16	-0.259	0.216	0.4334
CNAG_03196	URA5	1082.408	-0.49	0.122	8.465e-4
CNAG_03197	NA	25.264	-0.409	0.365	0.4689
CNAG_03198	NA	35067.596	-0.305	0.109	0.02688
CNAG_03199	NA	1.743	1.397	1.364	NA
CNAG_03202	CAC1	229.402	0.106	0.153	0.6818
CNAG_03203	NA	1093.199	-0.156	0.119	0.3799
CNAG_03204	NA	197.242	-0.021	0.168	0.9518
CNAG_03205	NA	227.27	-0.369	0.177	0.1203
CNAG_03206	NA	118.996	-0.569	0.208	0.03068
CNAG_03210	NA	920.664	0.547	0.156	0.003988
CNAG_03211	NA	29.462	-0.02	0.352	0.9803
CNAG_03212	HCM101	243.985	0.73	0.168	2.416e-4
CNAG_03213	UVE1	242.357	-0.03	0.156	0.9221
CNAG_03214	NA	294.807	0.412	0.163	0.05075
CNAG_03215	NA	63.453	-1.108	0.268	5.554e-4
CNAG_03216	SNF101	54.362	-0.235	0.259	0.5734
CNAG_03217	NA	515.846	0.409	0.135	0.01511
CNAG_03220	NA	255.616	-0.362	0.159	0.08416
CNAG_03221	NA	9201.02	-0.81	0.156	7.768e-6
CNAG_03222	DBR1	90.137	-0.183	0.212	0.5983
CNAG_03223	NA	8203.143	0.922	0.119	1.294e-12
CNAG_03224	NA	5.085	0.141	0.788	0.9282
CNAG_03225	NA	2755.847	-0.32	0.123	0.04116
CNAG_03226	NA	3494.39	-0.552	0.104	4.504e-6
CNAG_03227	NA	272.671	0.302	0.155	0.154
CNAG_03228	NA	153.42	0.153	0.181	0.6033
CNAG_03229	YOX101	44.738	0.172	0.36	0.7868
CNAG_03230	NA	116.25	1.258	0.473	0.03678
CNAG_03231	NA	175.776	-0.378	0.169	0.08984
CNAG_03232	NA	139.544	-0.351	0.189	0.1785
CNAG_03233	NA	203.215	1.081	0.184	2.715e-7
CNAG_03234	NA	19.668	0.447	0.409	0.4824
CNAG_03235	NA	322.131	-0.067	0.139	0.7838
CNAG_03236	NA	400.528	0.077	0.139	0.7507
CNAG_03237	NA	412.012	0.524	0.174	0.01558
CNAG_03238	NA	100.508	0.348	0.198	0.2061
CNAG_03239	NA	79.766	0.558	0.223	0.05236
CNAG_03240	NA	306.266	-0.176	0.141	0.4103
CNAG_03241	NA	113.722	0.588	0.2	0.019
CNAG_03242	NA	57.574	0.058	0.264	0.9088
CNAG_03243	NA	53.961	0.022	0.256	0.9674
CNAG_03244	NA	188.325	-0.14	0.157	0.5813
CNAG_03245	ZWF1	411.568	-0.161	0.143	0.4652
CNAG_03246	NA	331.929	-0.367	0.148	0.05567
CNAG_03247	NA	264.404	0.601	0.163	0.002341
CNAG_03248	NA	427.107	0.437	0.136	0.009403
CNAG_03249	NA	1995.755	-0.242	0.109	0.09322
CNAG_03250	NA	144.492	0.197	0.182	0.4868
CNAG_03251	ARF2	6219.703	-0.271	0.119	0.08324
CNAG_03252	NA	0	NA	NA	NA
CNAG_03258	TPK202a	184.684	0.118	0.163	0.6627
CNAG_03259	NA	51.639	-0.085	0.267	0.8648
CNAG_03260	NA	807.354	-0.392	0.167	0.07365
CNAG_03261	NA	919.681	-0.385	0.117	0.007906
CNAG_03262	INM101	268.605	0.089	0.153	0.7347
CNAG_03263	TUF1	5175.765	-0.333	0.101	0.00727
CNAG_03264	NA	264.102	-0.321	0.158	0.1306
CNAG_03265	NA	324.166	0.506	0.145	0.004203
CNAG_03266	NA	470.057	-0.279	0.132	0.115
CNAG_03267	NA	553.877	-0.011	0.129	0.966
CNAG_03268	NA	657.993	-0.094	0.126	0.6504
CNAG_03269	NA	274.533	0.278	0.148	0.1707
CNAG_03270	NA	1333.224	-0.695	0.133	7.258e-6
CNAG_03271	NA	556.233	-0.063	0.132	0.7858
CNAG_03272	NA	16.639	-0.46	0.435	0.4994
CNAG_03273	NA	439.841	0.205	0.137	0.2977
CNAG_03274	NA	341.393	-0.348	0.138	0.05045
CNAG_03275	NA	41.575	-0.531	0.285	0.1746
CNAG_03276	UPF3	25.34	0.086	0.35	0.8967
CNAG_03277	NA	58.202	0.196	0.254	0.6397
CNAG_03279	CCD4	111.181	0.067	0.197	0.8539
CNAG_03280	NA	262.46	0.189	0.147	0.3925
CNAG_03281	NA	6587.504	-0.079	0.116	0.6866
CNAG_03282	NA	150.572	-0.148	0.176	0.6091
CNAG_03283	NA	22082.528	-0.457	0.136	0.006443
