gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04752	NA	223.518	-0.662	0.203	0.004033
CNAG_04753	NA	86.352	0.378	0.233	0.1885
CNAG_04755	BCK1	389.084	-0.767	0.16	1.228e-5
CNAG_04756	NA	317.106	-2.101	0.211	9.638999999999999e-22
CNAG_04757	NA	87.106	-0.561	0.247	0.05468
CNAG_04758	AMT2	54.083	1.119	0.328	0.002501
CNAG_04759	NA	0.162	1.118	4.08	0.8558
CNAG_04760	NA	1103.307	-0.14	0.196	0.6064
CNAG_04761	RAS2	776.369	-0.324	0.175	0.1281
CNAG_04762	NA	19188.257	1.251	0.217	9.547e-8
CNAG_04763	PMT2	347.253	-0.038	0.164	0.8794
CNAG_04764	NA	185.468	0.435	0.198	0.06443
CNAG_04765	NA	833.716	-0.231	0.169	0.2803
CNAG_04766	NA	4.17	-0.748	0.894	0.5393
CNAG_04767	NA	474.03	0.053	0.161	0.8256
CNAG_04768	NA	188.239	-0.038	0.189	0.8958
CNAG_04769	NA	92.086	-0.331	0.23	0.2513
CNAG_04770	NA	590.538	0.64	0.157	2.238e-4
CNAG_04771	NA	928.837	-0.045	0.182	0.8728
CNAG_04772	NA	188.802	0.521	0.192	0.01929
CNAG_04773	NA	7.665	0.32	0.707	0.7554
CNAG_04774	FZC26	358.143	-0.526	0.167	0.00546
CNAG_04775	NA	250.752	0.158	0.172	0.4932
CNAG_04776	NA	1557.991	0.952	0.161	3.71e-8
CNAG_04777	NA	191.184	0.533	0.185	0.01217
CNAG_04781	NA	18.931	-0.613	0.456	0.2886
CNAG_04782	PPU1	289.706	-0.055	0.223	0.8721
CNAG_04783	NA	171.367	0.289	0.189	0.2202
CNAG_04784	NA	8.62	-0.098	0.69	0.9254
CNAG_04785	NA	197.463	0.726	0.198	0.001038
CNAG_04786	NA	314.027	0.405	0.176	0.05136
CNAG_04787	NA	30.686	-0.155	0.383	0.7816
CNAG_04788	NA	1000.22	-0.631	0.155	2.49e-4
CNAG_04789	NA	119.202	-0.129	0.23	0.6924
CNAG_04790	EZA1	177.568	0.584	0.201	0.0112
CNAG_04791	NA	170.02	0.36	0.195	0.129
CNAG_04792	NA	143.1	-0.301	0.204	0.2379
CNAG_04793	NA	44.015	-0.102	0.329	0.8354
CNAG_04794	NA	356.635	-0.597	0.165	0.001277
CNAG_04795	NA	172.685	0.441	0.195	0.05572
CNAG_04796	CNA1	605.961	0.136	0.155	0.5176
CNAG_04797	NA	1236.262	0.386	0.147	0.02355
CNAG_04798	NA	1732.348	0.065	0.14	0.7504
CNAG_04799	NA	33874.076	1.129	0.167	2.6200000000000003e-10
CNAG_04800	NA	2098.576	0.289	0.145	0.09751
CNAG_04801	NA	667.369	-0.496	0.157	0.005585
CNAG_04802	NA	720.546	0.579	0.171	0.002703
CNAG_04803	NA	711.483	-0.024	0.183	0.9303
CNAG_04804	SRE1	384.371	-0.818	0.191	1.056e-4
CNAG_04805	NA	151.196	0.716	0.2	0.001373
CNAG_04806	NA	1089.105	0.298	0.142	0.08007
CNAG_04807	FZC8	177.43	-0.57	0.19	0.00866
CNAG_04808	MKT1	580.374	-0.387	0.157	0.03464
CNAG_04809	NA	360.342	-0.102	0.164	0.6582
CNAG_04810	NA	171.902	-0.187	0.192	0.4634
CNAG_04813	NA	818.516	-0.151	0.203	0.5901
CNAG_04814	NA	126.959	0.365	0.217	0.1716
CNAG_04815	BNI1	190.697	-0.228	0.196	0.3685
CNAG_04816	NA	356.783	-1.268	0.204	7.079e-9
CNAG_04817	NA	788.399	0.404	0.145	0.01549
CNAG_04818	NA	101.258	-1.26	0.261	9.95e-6
CNAG_04819	NA	77.679	-0.652	0.245	0.02144
CNAG_04820	NA	460.311	0.47	0.165	0.01344
CNAG_04821	PAN3	684.684	-0.026	0.245	0.944
CNAG_04822	NA	142.231	0.707	0.208	0.002567
CNAG_04823	NA	434.624	0.845	0.193	7.422e-5
CNAG_04824	NA	324.289	-0.028	0.205	0.9282
CNAG_04825	NA	209.686	0.039	0.207	0.9031
CNAG_04826	NA	200.201	-0.498	0.208	0.04121
CNAG_04827	NA	260.081	0.479	0.215	0.06079
CNAG_04828	H3.3	6922.681	0.169	0.172	0.4588
CNAG_04829	NA	30.467	0.543	0.361	0.2279
CNAG_04830	NA	610.507	0.842	0.162	1.917e-6
CNAG_04831	NA	45.752	-0.504	0.307	0.1828
CNAG_04832	NA	461.578	-0.341	0.204	0.1747
CNAG_04833	TEP1	99.867	-0.671	0.25	0.02064
CNAG_04834	NA	40.582	-0.309	0.312	0.4554
CNAG_04835	NA	46.144	-1.199	0.325	9.984e-4
CNAG_04836	FZC10	27.371	-0.036	0.397	0.952
CNAG_04837	MLN1	6.674	-3.109	0.933	0.003211
CNAG_04838	NA	272.99	0.189	0.19	0.4542
CNAG_04839	NA	367.663	0.345	0.167	0.08544
CNAG_04840	NA	2775.459	0.316	0.133	0.04298
CNAG_04841	FZC43	170.534	-0.157	0.189	0.5429
CNAG_04842	NA	212.278	-0.289	0.238	0.3449
CNAG_04843	NA	728.894	0.302	0.171	0.1487
CNAG_04844	NA	3811.864	0.487	0.191	0.02837
CNAG_04845	NA	236.536	-0.244	0.181	0.286
CNAG_04846	NA	279.234	-0.501	0.17	0.01024
CNAG_04847	NA	186.27	0.082	0.187	0.7625
CNAG_04848	NA	1292.279	0.807	0.196	2.076e-4
CNAG_04849	NA	178.986	-0.427	0.192	0.0603
CNAG_04850	NA	39.665	-0.916	0.344	0.02154
CNAG_04851	NA	3364.696	-0.24	0.147	0.1849
CNAG_04852	NDX4	185.683	0.029	0.201	0.9241
CNAG_04853	NA	172.599	-0.64	0.195	0.003769
CNAG_04855	NA	46.725	-0.559	0.316	0.148
CNAG_04857	NA	2148.864	-1.37	0.182	1.129e-12
CNAG_04858	NA	933.534	-1.09	0.154	2.723e-11
CNAG_04859	NA	143.486	0.041	0.201	0.895
CNAG_04860	XPT1	392.526	-0.156	0.194	0.5546
CNAG_04861	NA	980.936	-1.92	0.169	5.678e-28
CNAG_04862	NA	64.586	0.066	0.286	0.881
CNAG_04863	VPS25	89.939	-0.186	0.242	0.5759
CNAG_04864	CIR1	900.475	-0.547	0.15	0.001183
CNAG_04865	NA	26.79	-1.602	0.404	3.551e-4
CNAG_04866	NA	90.268	-0.414	0.269	0.2166
CNAG_04867	NA	131.071	-1.697	0.287	4.17e-8
CNAG_04868	NA	383.273	0.267	0.173	0.215
CNAG_04869	PNB1	148.083	-0.807	0.2	2.809e-4
CNAG_04870	NA	7.722	-0.507	0.655	0.5728
CNAG_04871	NA	93.328	0.205	0.284	0.6002
CNAG_04872	NA	1106.99	0.558	0.156	0.00138
CNAG_04873	NA	64.188	-0.794	0.27	0.01036
CNAG_04874	NA	267.704	-2.267	0.219	1.903e-23
CNAG_04875	NA	324.695	0.535	0.179	0.009181
CNAG_04876	NA	1065.669	0.401	0.135	0.009572
CNAG_04877	NA	1.776	-2.032	1.535	0.2962
CNAG_04878	FZC1	93.553	-0.295	0.233	0.3211
CNAG_04879	NA	59.953	-0.669	0.267	0.03227
CNAG_04880	NA	110.789	-1.046	0.219	1.29e-5
CNAG_04882	NA	180.086	0.091	0.196	0.7499
CNAG_04883	NA	40060.113	1.369	0.204	3.367e-10
CNAG_04884	NA	73146.496	0.955	0.155	9.514e-9
CNAG_04886	NA	12.834	-1.185	0.57	0.08276
CNAG_04887	NA	177.132	0.177	0.209	0.5353
CNAG_04888	NA	25.093	1.022	0.393	0.02554
CNAG_04889	NA	61.354	0.325	0.272	0.3531
CNAG_04890	NA	1.781	0.962	1.389	0.6183
CNAG_04891	NA	3787.026	-9.035	0.273	2.5719999999999987e-236
CNAG_04892	NA	43.814	-0.797	0.315	0.03029
CNAG_04893	NA	71.537	0.131	0.255	0.7219
CNAG_04894	NA	25.101	-0.752	0.391	0.112
CNAG_04895	FZC3	149.157	-0.194	0.193	0.4448
CNAG_04896	NA	274.681	0.793	0.212	8.115e-4
CNAG_04897	NA	237.345	-0.05	0.198	0.8683
CNAG_04898	NA	43.354	-0.2	0.298	0.6295
CNAG_04899	NA	582.861	0.657	0.158	1.625e-4
CNAG_04900	NA	578.043	0.934	0.2	2.116e-5
CNAG_04901	NA	177.751	0.849	0.189	4.277e-5
CNAG_04902	NA	264.453	-0.271	0.181	0.2306
CNAG_04903	NA	146.208	-2.684	0.234	1.667e-28
CNAG_04904	CHC1	3060.316	0.143	0.199	0.6027
CNAG_04905	NA	325.053	0.247	0.17	0.2466
CNAG_04906	NA	725.886	0.204	0.206	0.456
CNAG_04907	NA	16.067	-0.62	0.467	0.2947
CNAG_04908	CLR4	16.672	0.739	0.474	0.2087
CNAG_04909	NA	139.961	-0.231	0.198	0.3674
CNAG_04911	NA	15.413	-0.958	0.478	0.09632
CNAG_04913	NA	732.873	-0.162	0.161	0.4454
CNAG_04914	NA	4151.717	0.765	0.151	3.066e-6
CNAG_04915	NA	0.804	-1.725	2.033	0.5328
CNAG_04916	FZC16	8.128	-0.272	0.647	0.772
CNAG_04919	NA	38.696	-0.668	0.319	0.0805
CNAG_04920	NA	108.38	-1.907	0.24	4.743e-14
CNAG_04925	NA	284.704	-0.083	0.191	0.7649
CNAG_04926	NA	16.769	-0.375	0.466	0.5552
CNAG_04927	YFH701	20.181	-1.548	0.451	0.002329
CNAG_04931	HXS2	0.122	-0.806	4.08	0.8981
CNAG_04932	NA	158.63	-0.529	0.218	0.03886
CNAG_04934	NA	239.694	-1.362	0.19	1.561e-11
CNAG_04935	NA	123.227	0.365	0.235	0.2104
CNAG_04936	NA	351.542	-0.083	0.163	0.7224
CNAG_04937	NA	67.924	-0.422	0.256	0.1819
CNAG_04938	NA	65.865	-2.098	0.29	1.034e-11
CNAG_04939	CDC14	321.659	-0.212	0.167	0.3191
CNAG_04943	NA	217.204	-0.755	0.185	2.363e-4
CNAG_04944	NA	475.235	-1.225	0.204	2.607e-8
CNAG_04945	NA	69.629	-0.809	0.263	0.007005
CNAG_04946	NA	83.322	-0.752	0.239	0.005619
CNAG_04947	NA	12.115	-1.321	0.572	0.05077
CNAG_04948	TUB2	785.521	0.154	0.15	0.4386
CNAG_04949	NA	420.945	0.256	0.176	0.2451
CNAG_04950	NA	4066.071	-0.952	0.207	2.858e-5
CNAG_04951	NA	2690.914	0.597	0.161	8.833e-4
CNAG_04952	NA	1314.66	0.095	0.186	0.723
CNAG_04953	NA	764.998	-0.626	0.16	4.455e-4
CNAG_04954	NA	776.442	0.459	0.153	0.008691
CNAG_04955	NA	230.077	0.246	0.195	0.323
CNAG_04956	NA	42.773	-0.558	0.309	0.139
CNAG_04957	NA	856.064	0.508	0.167	0.007795
CNAG_04958	NA	214.342	0.359	0.177	0.09187
CNAG_04959	NA	84.74	0.74	0.273	0.01936
CNAG_04960	NA	6.755	-1.54	0.754	0.08932
CNAG_04961	URA3	618.088	0.441	0.167	0.02237
CNAG_04962	NA	454.049	0.283	0.157	0.1385
CNAG_04963	NA	5272.189	-2.467	0.195	7.849000000000001e-35
CNAG_04967	NA	33.094	-0.426	0.354	0.35
CNAG_04968	NA	116.619	0.008	0.208	0.9788
CNAG_04969	UGD1	4107.647	-0.04	0.19	0.8911
CNAG_04970	NA	73.201	-0.629	0.254	0.03434
CNAG_04973	NA	552.955	0.198	0.158	0.329
CNAG_04974	NA	134.823	-0.779	0.201	4.823e-4
CNAG_04975	NA	57.348	1.165	0.276	1.312e-4
CNAG_04976	NA	4139.097	1.059	0.18	4.645e-8
CNAG_04977	NA	556.612	0.062	0.157	0.7898
CNAG_04978	NA	40.928	-0.08	0.325	0.8721
CNAG_04979	NA	96.323	-0.674	0.24	0.0146
CNAG_04980	NA	1276.676	0.388	0.147	0.02331
CNAG_04981	CAT1	277.336	-0.83	0.202	2.128e-4
CNAG_04983	NA	691.049	0.546	0.159	0.002329
CNAG_04984	PDR16	182.319	0.981	0.193	2.966e-6
CNAG_04985	NA	5788.505	1.008	0.159	3.059e-9
CNAG_04986	NA	367.736	0.34	0.189	0.1411
CNAG_04987	NA	49.345	-0.151	0.313	0.7389
CNAG_04988	NA	24.788	0.468	0.403	0.37
CNAG_04989	NA	178.69	0.867	0.218	3.551e-4
CNAG_04990	PRO2	787.627	0.532	0.153	0.002002
CNAG_04991	NA	270.892	-1.17	0.183	2.168e-9
CNAG_04992	NA	264.775	-0.51	0.172	0.009648
CNAG_04993	NA	8.787	-0.494	0.615	0.5558
CNAG_04994	NA	390.756	0.798	0.176	3.578e-5
CNAG_04997	NA	585.947	0.358	0.172	0.08309
CNAG_04999	NA	42.57	0.671	0.34	0.1023
CNAG_05000	NA	97.788	-0.397	0.226	0.1516
CNAG_05001	NA	204.336	0.089	0.186	0.7433
CNAG_05002	NA	1.352	2.859	1.739	0.1825
