gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00257	NA	408.491	0.827	0.218	0.001744
CNAG_00258	NA	269.782	-0.046	0.202	0.9101
CNAG_00259	NA	282.699	0.189	0.169	0.4877
CNAG_00260	NA	743.661	-0.296	0.142	0.1287
CNAG_00261	NA	16091.456	0.492	0.152	0.009648
CNAG_00262	NA	38.999	-0.238	0.406	0.7439
CNAG_00263	PTP4	126.297	-0.045	0.262	0.9328
CNAG_00264	NA	1222.094	-0.352	0.178	0.1556
CNAG_00265	IDI1	1980.112	0.028	0.158	0.9295
CNAG_00266	YFH7	194.019	-0.172	0.181	0.5649
CNAG_00267	NA	82.92	-0.522	0.267	0.1637
CNAG_00268	ILV2	817.205	-0.235	0.202	0.465
CNAG_00269	NA	68.254	-2.021	0.688	0.02162
CNAG_00270	NA	2924.811	-0.083	0.116	0.6795
CNAG_00271	NA	310.808	0.037	0.181	0.92
CNAG_00272	NA	135.083	0.075	0.277	0.8889
CNAG_00273	NA	64.819	0.049	0.316	0.9369
CNAG_00274	NA	194.046	-0.054	0.216	0.9007
CNAG_00275	NA	362.459	-0.165	0.178	0.5763
CNAG_00276	NA	137.202	-0.029	0.254	0.9509
CNAG_00277	NA	164.593	0.256	0.201	0.4163
CNAG_00278	NA	274.596	-0.35	0.167	0.1274
CNAG_00279	NA	558.024	0.141	0.251	0.7526
CNAG_00280	NA	1891.688	-0.114	0.108	0.5174
CNAG_00283	NA	111.717	-0.26	0.288	0.5884
CNAG_00284	NA	103.787	-0.539	0.256	0.1257
CNAG_00285	NA	103.931	-0.502	0.264	0.1762
CNAG_00286	NAB2	453.993	-0.089	0.158	0.7533
CNAG_00287	NA	5509.758	0.026	0.136	0.9254
CNAG_00288	NA	136.454	0.104	0.227	0.8025
CNAG_00289	NA	143.875	-0.17	0.245	0.6911
CNAG_00290	NA	394.786	-0.048	0.164	0.8804
CNAG_00291	NA	11.461	0.354	0.723	0.7899
CNAG_00292	NA	1763.486	0.18	0.132	0.3738
CNAG_00293	RAS1	944.322	0.311	0.136	0.09008
CNAG_00294	NA	474.258	-0.172	0.172	0.5451
CNAG_00295	NA	2.561	1.048	1.652	0.7213
CNAG_00299	NA	179.807	0.112	0.194	0.7467
