gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04731	PCD102	201.288	-0.056	0.148	0.8177
CNAG_04732	PCD1	309.312	-0.044	0.139	0.8518
CNAG_04733	NA	505.348	0.172	0.126	0.3152
CNAG_04734	NA	465.489	0.149	0.119	0.3632
CNAG_04735	MEP1	5508.244	0.993	0.088	1.8529999999999998e-27
CNAG_04736	NA	346.368	0.878	0.136	2.162e-9
CNAG_04737	NA	774.822	0.839	0.102	1.116e-14
CNAG_04738	SAC6	534.53	0.163	0.119	0.3127
CNAG_04739	NA	457.141	-0.217	0.126	0.1865
CNAG_04740	NA	767.543	0.045	0.105	0.7927
CNAG_04741	NA	1271.61	0.657	0.111	4.658e-8
CNAG_04742	NA	313.513	0.066	0.13	0.7503
CNAG_04743	NA	694.179	-0.233	0.108	0.08528
CNAG_04744	NA	154.889	0.235	0.193	0.379
CNAG_04745	NA	151.552	-0.076	0.168	0.7788
CNAG_04746	NA	388.501	0.102	0.125	0.5869
CNAG_04747	NA	566.09	0.36	0.108	0.00416
CNAG_04748	NA	286.319	0.089	0.13	0.6535
CNAG_04749	NA	704.4	-0.078	0.106	0.6248
CNAG_04750	NA	169.602	0.287	0.168	0.1895
CNAG_04751	NA	399.523	0.269	0.118	0.06684
CNAG_04752	NA	422.067	0.593	0.138	1.391e-4
CNAG_04753	NA	89.445	-0.298	0.206	0.2814
CNAG_04755	BCK1	715.472	0.073	0.121	0.6993
CNAG_04756	NA	469.265	0.388	0.126	0.008996
CNAG_04757	NA	179.568	0.542	0.178	0.009485
CNAG_04758	AMT2	79.043	-0.245	0.219	0.4269
CNAG_04759	NA	0	NA	NA	NA
CNAG_04760	NA	2709.748	0.095	0.111	0.5595
CNAG_04761	RAS2	1189.173	0.009	0.097	0.9604
CNAG_04762	NA	9304.257	-1.015	0.111	5.008e-18
CNAG_04763	PMT2	477.913	-0.002	0.123	0.9922
CNAG_04764	NA	209.646	0.094	0.15	0.6849
CNAG_04765	NA	1814.769	0.113	0.094	0.3835
CNAG_04766	NA	6.334	-0.284	0.72	0.8095
CNAG_04767	NA	629.999	-0.444	0.117	8.494e-4
CNAG_04768	NA	246.051	-0.382	0.143	0.02689
CNAG_04769	NA	157.072	0.066	0.168	0.8119
CNAG_04770	NA	435.844	-0.57	0.127	6.211e-5
CNAG_04771	NA	1946.669	0.113	0.087	0.3479
CNAG_04772	NA	205.253	-0.231	0.154	0.2615
CNAG_04773	NA	12.421	-0.511	0.531	0.5052
CNAG_04774	FZC26	741.707	0.185	0.114	0.2151
CNAG_04775	NA	376.109	0.111	0.135	0.5799
CNAG_04776	NA	1259.023	-0.826	0.109	1.293e-12
CNAG_04777	NA	153.551	-0.529	0.191	0.02079
CNAG_04781	NA	82.881	-0.249	0.211	0.3965
CNAG_04782	PPU1	616.607	0.113	0.112	0.4854
CNAG_04783	NA	188.086	-0.358	0.156	0.06321
CNAG_04784	NA	21.042	0.919	0.414	0.07388
CNAG_04785	NA	225.24	0.031	0.163	0.9125
CNAG_04786	NA	399.439	-0.089	0.121	0.626
CNAG_04787	NA	86.898	0.302	0.219	0.3103
CNAG_04788	NA	1159.949	-0.294	0.091	0.005472
CNAG_04789	NA	227.57	0.185	0.16	0.4113
CNAG_04790	EZA1	187.245	-0.57	0.152	0.001031
CNAG_04791	NA	174.703	-0.373	0.16	0.05905
CNAG_04792	NA	270.345	0.415	0.154	0.02423
CNAG_04793	NA	144.18	0.411	0.201	0.1046
CNAG_04794	NA	1202.109	0.478	0.095	5.209e-6
CNAG_04795	NA	228.992	-0.19	0.144	0.3361
CNAG_04796	CNA1	854.693	-0.008	0.097	0.9648
CNAG_04797	NA	1607.732	-0.084	0.097	0.5549
CNAG_04798	NA	2861.433	0.177	0.094	0.1388
CNAG_04799	NA	18480.266	-0.755	0.077	8.672e-21
CNAG_04800	NA	2474.638	-0.211	0.086	0.04494
CNAG_04801	NA	1185.422	-0.004	0.093	0.9813
CNAG_04802	NA	594.921	-0.542	0.12	4.846e-5
CNAG_04803	NA	1053.218	-0.187	0.111	0.1944
CNAG_04804	SRE1	837.348	0.442	0.114	6.578e-4
CNAG_04805	NA	168.853	-0.212	0.167	0.359
CNAG_04806	NA	1720.795	0.095	0.096	0.4924
CNAG_04807	FZC8	197.251	-0.027	0.18	0.9302
CNAG_04808	MKT1	802.431	0.051	0.097	0.7403
CNAG_04809	NA	629.605	0.109	0.114	0.5114
CNAG_04810	NA	296.45	0.363	0.142	0.03461
