gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04857	NA	3363.395	-0.025	0.121	0.8749
CNAG_04858	NA	1235.29	-0.717	0.136	7.139e-7
CNAG_04859	NA	111.927	0.578	0.222	0.01813
CNAG_04860	XPT1	653.859	0.058	0.122	0.7072
CNAG_04861	NA	1032.445	-0.685	0.129	5.885e-7
CNAG_04862	NA	48.831	0.619	0.293	0.05933
CNAG_04863	VPS25	93.529	0.009	0.236	0.9769
CNAG_04864	CIR1	1068.88	-0.198	0.127	0.1733
CNAG_04865	NA	39.067	-0.85	0.307	0.01194
CNAG_04866	NA	95.614	-0.265	0.221	0.3074
CNAG_04867	NA	219.756	-0.693	0.222	0.00426
CNAG_04868	NA	364.2	0.695	0.141	3.585e-6
CNAG_04869	PNB1	203.527	-0.262	0.157	0.1429
CNAG_04870	NA	13.958	-0.475	0.553	0.4771
CNAG_04871	NA	187.15	-0.783	0.182	6.098e-5
CNAG_04872	NA	1124.222	0.154	0.143	0.362
CNAG_04873	NA	185.883	-0.598	0.169	0.001078
CNAG_04874	NA	396.022	-1.905	0.156	7.002999999999999e-33
CNAG_04875	NA	321.058	0.237	0.145	0.1524
CNAG_04876	NA	1314.926	0.862	0.117	1.883e-12
CNAG_04877	NA	22.802	-2.231	0.452	3.355e-6
CNAG_04878	FZC1	84.329	-0.06	0.219	0.8289
CNAG_04879	NA	262.123	-1.558	0.162	1.611e-20
CNAG_04880	NA	138.496	-0.666	0.196	0.001723
CNAG_04882	NA	201.015	-0.053	0.165	0.7994
CNAG_04883	NA	20885.862	0.797	0.118	1.33e-10
CNAG_04884	NA	42761.331	0.725	0.138	7.759e-7
CNAG_04886	NA	41.246	-1.229	0.307	1.952e-4
CNAG_04887	NA	82.467	0.167	0.216	0.5238
CNAG_04888	NA	35.754	-0.564	0.332	0.1358
CNAG_04889	NA	259.769	-0.469	0.158	0.006681
CNAG_04890	NA	1.879	-0.187	1.401	0.9194
CNAG_04891	NA	2813.415	-8.628	0.288	1.2429999999999996e-194
CNAG_04892	NA	92.976	-1.325	0.242	2.366e-7
CNAG_04893	NA	103.844	-0.047	0.211	0.8641
CNAG_04894	NA	38.839	-0.884	0.322	0.01253
CNAG_04895	FZC3	179.342	0.176	0.208	0.4839
CNAG_04896	NA	243.571	0.892	0.187	7.518e-6
CNAG_04897	NA	244.795	0.354	0.153	0.03728
CNAG_04898	NA	104.319	-0.495	0.207	0.0315
CNAG_04899	NA	548.13	0.512	0.13	2.68e-4
CNAG_04900	NA	528.077	0.508	0.129	2.593e-4
CNAG_04901	NA	105.756	2.611	0.251	5.2099999999999996e-24
CNAG_04902	NA	461.218	0.007	0.153	0.9713
CNAG_04903	NA	803.073	-3.539	0.171	8.264999999999998e-93
CNAG_04904	CHC1	4006.858	-0.021	0.099	0.8683
CNAG_04905	NA	252.686	1.113	0.151	1.592e-12
CNAG_04906	NA	862.175	0.577	0.128	2.597e-5
CNAG_04907	NA	60.577	-1.22	0.272	2.642e-5
CNAG_04908	CLR4	34.556	-1.161	0.353	0.002467
CNAG_04909	NA	185.727	0.137	0.168	0.5016
CNAG_04911	NA	30.781	-0.921	0.356	0.01918
CNAG_04913	NA	973.16	0.05	0.121	0.7459
CNAG_04914	NA	3974.546	0.775	0.113	6.386e-11
CNAG_04915	NA	3.995	0.017	0.888	0.9869
CNAG_04916	FZC16	12.404	-0.771	0.537	0.2137
CNAG_04919	NA	54.243	-0.869	0.287	0.005523
CNAG_04920	NA	361.414	-1.376	0.164	8.708e-16
CNAG_04925	NA	395.248	-0.233	0.135	0.13
CNAG_04926	NA	37.338	-0.463	0.318	0.2076
CNAG_04927	YFH701	36.572	-0.453	0.323	0.2256
CNAG_04931	HXS2	0	NA	NA	NA
CNAG_04932	NA	213.156	0.075	0.188	0.754
CNAG_04934	NA	568.798	-0.192	0.126	0.1836
CNAG_04935	NA	121.507	0.349	0.198	0.1205
CNAG_04936	NA	441.124	0.921	0.161	6.51e-8
CNAG_04937	NA	97.034	-0.903	0.217	1.063e-4
CNAG_04938	NA	204.557	-2.159	0.176	4.652e-33
CNAG_04939	CDC14	422.965	-0.005	0.128	0.9767
CNAG_04943	NA	235.994	0.164	0.174	0.4293
CNAG_04944	NA	1092.583	-0.858	0.185	1.343e-5
CNAG_04945	NA	123.986	-1.481	0.208	1.123e-11
CNAG_04946	NA	143.999	-0.502	0.185	0.01383
CNAG_04947	NA	39.449	-2.435	0.367	2.617e-10
CNAG_04948	TUB2	640.121	0.659	0.138	7.174e-6
CNAG_04949	NA	452.681	0.076	0.136	0.6519
CNAG_04950	NA	5270.03	-0.122	0.113	0.3625
CNAG_04951	NA	1975.891	0.438	0.109	1.935e-4
CNAG_04952	NA	942.527	0.424	0.133	0.003419
CNAG_04953	NA	1529.015	0.186	0.12	0.1785
CNAG_04954	NA	955.145	0.24	0.115	0.06332
CNAG_04955	NA	383.971	-0.383	0.138	0.01194
CNAG_04956	NA	114.143	-1.142	0.22	9.64e-7
CNAG_04957	NA	960.756	0.72	0.132	2.384e-7
CNAG_04958	NA	352.758	-0.322	0.138	0.03593
CNAG_04959	NA	114.352	0.075	0.21	0.7786
CNAG_04960	NA	14.275	1.223	0.498	0.02684
CNAG_04961	URA3	586.522	0.528	0.134	2.592e-4
CNAG_04962	NA	438.122	0.799	0.132	8.282e-9
CNAG_04963	NA	4879.174	-0.81	0.14	4.167e-8
CNAG_04967	NA	43.71	0.47	0.286	0.1504
CNAG_04968	NA	145.039	0.25	0.181	0.232
CNAG_04969	UGD1	4329.446	0.386	0.148	0.01815
CNAG_04970	NA	166.605	-0.798	0.179	3.05e-5
CNAG_04973	NA	672.114	0.206	0.121	0.1351
CNAG_04974	NA	231.562	-1.07	0.175	6.488e-9
CNAG_04975	NA	63.839	0.169	0.251	0.5844
CNAG_04976	NA	2587.969	0.709	0.132	4.279e-7
CNAG_04977	NA	606.49	0.327	0.119	0.01285
CNAG_04978	NA	52.41	0.383	0.27	0.2201
CNAG_04979	NA	147.193	-0.624	0.196	0.003485
CNAG_04980	NA	844.96	0.201	0.157	0.274
CNAG_04981	CAT1	873.663	-1.754	0.127	6.471999999999999e-42
CNAG_04983	NA	645.12	0.522	0.125	9.268e-5
CNAG_04984	PDR16	211.769	-0.002	0.155	0.9902
CNAG_04985	NA	3829.643	0.726	0.133	2.297e-7
CNAG_04986	NA	295.051	0.134	0.15	0.4555
CNAG_04987	NA	75.454	-1.182	0.234	1.999e-6
CNAG_04988	NA	6.082	-0.794	0.768	0.3842
CNAG_04989	NA	191.181	0.352	0.175	0.0733
CNAG_04990	PRO2	859.852	0.602	0.118	1.393e-6
CNAG_04991	NA	457.159	-0.195	0.138	0.221
CNAG_04992	NA	317.454	-0.419	0.184	0.04113
CNAG_04993	NA	17.121	-2.053	0.499	1.286e-4
CNAG_04994	NA	400.843	0.669	0.143	1.066e-5
CNAG_04997	NA	732.411	0.213	0.141	0.1877
CNAG_04999	NA	37.765	-0.139	0.308	0.7207
CNAG_05000	NA	132.072	-0.389	0.203	0.08951
CNAG_05001	NA	193.74	0.326	0.194	0.1414
CNAG_05002	NA	9.057	-1.44	0.636	0.04237
CNAG_05003	NA	200.191	-1.844	0.217	3.054e-16
CNAG_05004	NA	138.696	0.666	0.18	6.159e-4
CNAG_05005	ATG1	423.985	-1.294	0.144	5.447e-18
CNAG_05006	NA	106.729	0.552	0.2	0.01189
CNAG_05007	NA	922.391	0.692	0.136	1.595e-6
CNAG_05008	NA	311.014	-0.115	0.147	0.519
CNAG_05009	NA	438.354	0.499	0.144	0.001396
CNAG_05010	ZFC7	0.149	1.378	4.08	0.7888
CNAG_05011	NA	249.933	0.146	0.195	0.5389
CNAG_05012	NA	207.41	-0.29	0.164	0.1184
CNAG_05013	HRB1	1594.134	0.533	0.12	3.138e-5
CNAG_05015	CAT4	125.819	-2.022	0.215	9.579000000000001e-20
CNAG_05016	NA	33.237	-0.432	0.368	0.3178
CNAG_05017	NA	129.813	-0.638	0.194	0.002461
CNAG_05018	NA	60.413	-1.248	0.28	3.092e-5
CNAG_05019	FZC21	245.796	-0.693	0.164	8.177e-5
CNAG_05020	NA	300.59	-0.268	0.149	0.1132
CNAG_05021	NA	4.503	-0.003	0.886	0.9978
CNAG_05022	NA	71.65	-0.225	0.239	0.4296
CNAG_05023	CAS91	829.964	-0.237	0.134	0.1213
CNAG_05024	NA	106.049	-0.457	0.204	0.0446
